epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,4507.99,1.81791,2.43017,1.21078,0.29539,0.29082,0.24355,0.11864,1.69989,2.4488,1.34169,0.001189,0.001189,0.001189
91,4558.27,1.87117,2.96495,1.27606,0.28677,0.29435,0.23825,0.12057,1.73561,2.49235,1.3418,0.00109,0.00109,0.00109
92,4606.89,1.85149,2.71155,1.25365,0.28385,0.29199,0.22614,0.11535,1.72186,2.51332,1.33976,0.000991,0.000991,0.000991
93,4654.61,1.86647,2.83121,1.26142,0.2862,0.28846,0.23174,0.11977,1.68711,2.50586,1.32415,0.000892,0.000892,0.000892
94,4701.47,1.83518,2.60723,1.2617,0.309,0.29003,0.24245,0.1208,1.67196,2.52532,1.31392,0.000793,0.000793,0.000793
95,4750.13,1.84689,2.54431,1.2572,0.3103,0.27512,0.23143,0.11356,1.68609,2.5371,1.31532,0.000694,0.000694,0.000694
96,4797.75,1.82066,3.08947,1.26005,0.29418,0.28336,0.22433,0.1193,1.65234,2.49145,1.30641,0.000595,0.000595,0.000595
97,4844.8,1.82063,2.63274,1.22488,0.30661,0.29199,0.24515,0.12248,1.61896,2.52157,1.29692,0.000496,0.000496,0.000496
98,4892.97,1.84213,2.74284,1.27858,0.31138,0.28807,0.23946,0.11824,1.62224,2.52328,1.30624,0.000397,0.000397,0.000397
99,4940.79,1.79974,2.80926,1.24935,0.30116,0.30808,0.25584,0.13142,1.60978,2.469,1.29425,0.000298,0.000298,0.000298
100,4987.61,1.79299,2.73447,1.25636,0.31168,0.29239,0.24699,0.12877,1.5932,2.51195,1.2884,0.000199,0.000199,0.000199
